total_users,35.0
monthly_active_users,27.0
new_users,15.0

user_name,Andrew Mersmann

user_action
Tried Something New,40
Followed My Intuition,42
Got Vulnerable,23
Practiced Forgiveness,25
Created Prosperity,4
Was a Badass,53
Made a Difference,35
Honored My Values,42
Touched Nature,45
Practiced Gratitude,54
Loved the Earth,13
Reviewed Goals,39
Declined a Straw,25
Share the App,7
#evox.life Selfie,6
total_action,453

tags
Conscious Company,7
Content Creator,6
Thought Leader,6
Community Leader,3
Activist,3
Evox Team,8
Baby Boomer: 1945-1964,2
United States,25
CA,10
Rancho Palos Verdes,1
Become an evox Contributor - Completed,1
Welcome to evox - Completed,2
Male,15
Outdoors,5
Arts & Crafts,3
Community Groups,2
Food / Cooking,4
Gardening,4
Permaculture,2
Performing,1
Organic Gardening,3
Running,2
Yoga,3
Meditation,4
Activism,2
Eating Organic,3
Breathwork,5
E-Learning,2
Travel,3
Hiking,3
Cooking,3
Beach,3
Green Living,5
Pets,3
Entertaining,3
Design,2
Volunteering,3
Sleep Science,1
Reading,2
Film/TV,2
News/Current Events,2
Intergenerational Connection,2
Cultural Identities,2
Music,3
Politics,1
Connecting Neighbors,2
Communication,5
Activism,6
Health,5
Transgender Rights,6
Economy,6
Sustainability,8
Technology,6
Policy and Politics,5
Parenting,4
Relationships,5
evox.life,33
75-100%,7
Conscious Company,7
Content Creator,6
Thought Leader,6
Community Leader,3
Activist,3
Evox Team,8
Baby Boomer: 1945-1964,2
Male,15
Outdoors,5
Arts & Crafts,3
Community Groups,2
Food / Cooking,4
Gardening,4
Permaculture,2
Performing,1
Organic Gardening,3
Running,2
Yoga,3
Meditation,4
Activism,2
Eating Organic,3
Breathwork,5
E-Learning,2
Travel,3
Hiking,3
Cooking,3
Beach,3
Green Living,5
Pets,3
Entertaining,3
Design,2
Volunteering,3
Sleep Science,1
Reading,2
Film/TV,2
News/Current Events,2
Intergenerational Connection,2
Cultural Identities,2
Music,3
Politics,1
Connecting Neighbors,2
Communication,5
Activism,6
Health,5
Transgender Rights,6
Economy,6
Sustainability,8
Technology,6
Policy and Politics,5
Parenting,4
Relationships,5
evox.life,33
total_tag,504

Badges
total_badges,0

user_name,Xav Dubois

user_action
Tried Something New,16
Followed My Intuition,23
Got Vulnerable,24
Practiced Forgiveness,29
Created Prosperity,9
Was a Badass,27
Made a Difference,17
Honored My Values,19
Touched Nature,22
Practiced Gratitude,30
Loved the Earth,19
Reviewed Goals,8
#evox.life Selfie,17
Declined a Straw,11
Share More,0
total_action,271

tags
Business Owner,7
Conscious Company,7
Content Creator,6
Thought Leader,6
Evox Team,8
Generation X: 1965-1979,10
United States,25
California,8
San Francisco,1
Welcome to evox - Enrolled,5
Nonbinary,2
Outdoors,5
Community Groups,2
Food / Cooking,4
Gardening,4
Eating Organic,3
Breathwork,5
Green Living,5
News/Current Events,2
Music,3
Communication,5
Activism,6
Health,5
Transgender Rights,6
Economy,6
Sustainability,8
Technology,6
Policy and Politics,5
Parenting,4
Relationships,5
evox.life,33
75-100%,7
Business Owner,7
Conscious Company,7
Content Creator,6
Thought Leader,6
Evox Team,8
Generation X: 1965-1979,10
Nonbinary,2
Outdoors,5
Community Groups,2
Food / Cooking,4
Gardening,4
Eating Organic,3
Breathwork,5
Green Living,5
News/Current Events,2
Music,3
Communication,5
Activism,6
Health,5
Transgender Rights,6
Economy,6
Sustainability,8
Technology,6
Policy and Politics,5
Parenting,4
Relationships,5
evox.life,33
total_tag,382

Badges
total_badges,0

user_name,Erik Lehmann

user_action
Tried Something New,15
Followed My Intuition,24
Got Vulnerable,36
Practiced Forgiveness,28
Created Prosperity,11
Was a Badass,8
Made a Difference,12
Honored My Values,24
Touched Nature,44
Practiced Gratitude,37
Loved the Earth,8
Reviewed Goals,3
Declined a Straw,31
Share More,0
#evox.life Selfie,0
total_action,281

tags
Evox Team,8
Generation X: 1965-1979,10
United States,25
California,8
Mariposa,3
Evolve Your World,2
Male,15
Outdoors,5
Sports,2
Meditation,4
Activism,2
E-Learning,2
Green Living,5
Volunteering,3
Music,3
Gaming,1
Communication,5
Activism,6
Transgender Rights,6
Sustainability,8
Technology,6
Relationships,5
evox.life,33
75-100%,7
Evox Team,8
Generation X: 1965-1979,10
Evolve Your World,2
Male,15
Outdoors,5
Sports,2
Meditation,4
Activism,2
E-Learning,2
Green Living,5
Volunteering,3
Music,3
Gaming,1
Communication,5
Activism,6
Transgender Rights,6
Sustainability,8
Technology,6
Relationships,5
evox.life,33
total_tag,305

Badges
total_badges,0

user_name,Sean Aiken

user_action
Tried Something New,5
Followed My Intuition,7
Got Vulnerable,4
Practiced Forgiveness,0
Created Prosperity,2
Was a Badass,4
Made a Difference,6
Honored My Values,4
Touched Nature,8
Practiced Gratitude,7
